313,AcEc_119,-1
402,AcEc_119,-0.8
2950,AcEc_119,-5.9
3220,AcEc_119,-6.3
5757,AcEc_119,-6
5988,AcEc_119,-3.2
5994,AcEc_119,-3.9
5997,AcEc_119,-0.4
6013,AcEc_119,-4.1
6031,AcEc_119,-4.9
6128,AcEc_119,-4.1
6675,AcEc_119,0
6780,AcEc_119,-7
7427,AcEc_119,-3.8
7871,AcEc_119,-3.8
8955,AcEc_119,-4.9
8956,AcEc_119,-4.1
9415,AcEc_119,-5.2
10187,AcEc_119,-5.8
10208,AcEc_119,-6.2
10453,AcEc_119,-5.3
10461,AcEc_119,-3.5
22384,AcEc_119,-4.5
24526,AcEc_119,-2
31402,AcEc_119,-2.4
31404,AcEc_119,-4
33441,AcEc_119,-5.9
40326,AcEc_119,-5.3
62850,AcEc_119,-5.3
64695,AcEc_119,-6.7
64696,AcEc_119,-6.7
65575,AcEc_119,-5.2
68111,AcEc_119,-6
73614,AcEc_119,-4.5
86472,AcEc_119,-1.6
90567,AcEc_119,-5.9
91458,AcEc_119,-4.5
91520,AcEc_119,-3.6
92132,AcEc_119,0
92835,AcEc_119,-0.7
96710,AcEc_119,-5.6
101787,AcEc_119,-0.8
104796,AcEc_119,-4.7
107701,AcEc_119,-0.6
107835,AcEc_119,-1
107878,AcEc_119,-5.8
107938,AcEc_119,-4.4
108053,AcEc_119,-4.6
114843,AcEc_119,-4.5
115158,AcEc_119,-5
129597,AcEc_119,-2.4
146469,AcEc_119,-4.5
148745,AcEc_119,-5.4
154417,AcEc_119,-5.8
160636,AcEc_119,0
161218,AcEc_119,0
161533,AcEc_119,-6.4
163016,AcEc_119,-2.3
163882,AcEc_119,-4.4
165456,AcEc_119,-2.1
178793,AcEc_119,-5.9
180272,AcEc_119,0
180535,AcEc_119,0
180544,AcEc_119,-5.4
181570,AcEc_119,-5.5
182645,AcEc_119,-5.7
187306,AcEc_119,-7.3
193587,AcEc_119,-3.2
193710,AcEc_119,-5.8
205042,AcEc_119,-4.8
205992,AcEc_119,-5.6
222284,AcEc_119,-0.2
235071,AcEc_119,-5.5
238794,AcEc_119,0
246205,AcEc_119,-2.5
259577,AcEc_119,0
259776,AcEc_119,0
259803,AcEc_119,0
259991,AcEc_119,0
267250,AcEc_119,0
332671,AcEc_119,-4.4
334778,AcEc_119,-5.1
340013,AcEc_119,-2.9
340066,AcEc_119,-4.4
361510,AcEc_119,-6.1
387316,AcEc_119,0
390113,AcEc_119,0
401171,AcEc_119,-7.6
439503,AcEc_119,-5.1
439555,AcEc_119,-3.4
439763,AcEc_119,0
441005,AcEc_119,-5.1
441826,AcEc_119,0
442106,AcEc_119,-5
442359,AcEc_119,-5.3
442405,AcEc_119,-6.1
442432,AcEc_119,-3.2
442544,AcEc_119,-3.8
442706,AcEc_119,-5
442758,AcEc_119,-4.2
442764,AcEc_119,-1.7
461030,AcEc_119,-4
461031,AcEc_119,-2.4
577062,AcEc_119,-5.5
605429,AcEc_119,-5.9
609638,AcEc_119,-3.7
633841,AcEc_119,0
636777,AcEc_119,-5
670971,AcEc_119,-6.5
1794427,AcEc_119,-6.5
3000322,AcEc_119,-5.3
3034394,AcEc_119,-5.2
3080690,AcEc_119,-4.7
3084311,AcEc_119,-4.7
3085119,AcEc_119,0
4486617,AcEc_119,-6
5200193,AcEc_119,0
5200197,AcEc_119,0
5276607,AcEc_119,0
5276614,AcEc_119,-2.8
5280363,AcEc_119,-5.1
5280450,AcEc_119,-5.6
5280887,AcEc_119,-5.6
5280906,AcEc_119,-2.5
5280934,AcEc_119,-5.7
5281316,AcEc_119,0
5281318,AcEc_119,0
5281513,AcEc_119,-1.4
5281519,AcEc_119,-5.1
5281520,AcEc_119,-4.8
5281733,AcEc_119,-2.5
5281743,AcEc_119,-1.7
5281750,AcEc_119,-1.3
5281752,AcEc_119,-0.2
5281756,AcEc_119,-2.3
5283080,AcEc_119,-5.3
5283224,AcEc_119,-5.4
5283227,AcEc_119,-5.3
5283387,AcEc_119,-5.4
5283957,AcEc_119,0
5284054,AcEc_119,0
5284421,AcEc_119,-5.6
5311477,AcEc_119,-4.2
5312457,AcEc_119,-5.4
5312495,AcEc_119,-5.8
5315536,AcEc_119,-4.8
5326970,AcEc_119,0
5352107,AcEc_119,-2.5
5352767,AcEc_119,-5.3
5352771,AcEc_119,-5.4
5352772,AcEc_119,-5.3
5352773,AcEc_119,-5.5
5352787,AcEc_119,-4.9
5352788,AcEc_119,-5.1
5352888,AcEc_119,-5.3
5352891,AcEc_119,-5.1
5363265,AcEc_119,-5.7
5363285,AcEc_119,-5.1
5363385,AcEc_119,-5.2
5363391,AcEc_119,-5.5
5363534,AcEc_119,-5.3
5364711,AcEc_119,-5.3
5365883,AcEc_119,-5.7
