313,AcEc_119,93,5.0
402,AcEc_119,94,5.0
2950,AcEc_119,54,2.0
3220,AcEc_119,51,2.0
5757,AcEc_119,53,2.0
5988,AcEc_119,75,4.0
5994,AcEc_119,70,3.0
5997,AcEc_119,98,5.0
6013,AcEc_119,68,3.0
6031,AcEc_119,62,3.0
6128,AcEc_119,68,3.0
6780,AcEc_119,45,2.0
7427,AcEc_119,71,4.0
7871,AcEc_119,71,4.0
8955,AcEc_119,62,3.0
8956,AcEc_119,68,3.0
9415,AcEc_119,60,3.0
10187,AcEc_119,55,2.0
10208,AcEc_119,52,2.0
10453,AcEc_119,59,3.0
10461,AcEc_119,73,4.0
22384,AcEc_119,65,3.0
24526,AcEc_119,85,4.0
31402,AcEc_119,82,4.0
31404,AcEc_119,69,3.0
33441,AcEc_119,54,2.0
40326,AcEc_119,59,3.0
62850,AcEc_119,59,3.0
64695,AcEc_119,48,2.0
64696,AcEc_119,48,2.0
65575,AcEc_119,60,3.0
68111,AcEc_119,53,2.0
73614,AcEc_119,65,3.0
86472,AcEc_119,88,5.0
90567,AcEc_119,54,2.0
91458,AcEc_119,65,3.0
91520,AcEc_119,72,4.0
92835,AcEc_119,95,5.0
96710,AcEc_119,56,3.0
101787,AcEc_119,94,5.0
104796,AcEc_119,63,3.0
107701,AcEc_119,96,5.0
107835,AcEc_119,93,5.0
107878,AcEc_119,55,2.0
107938,AcEc_119,66,3.0
108053,AcEc_119,64,3.0
114843,AcEc_119,65,3.0
115158,AcEc_119,61,3.0
129597,AcEc_119,82,4.0
146469,AcEc_119,65,3.0
148745,AcEc_119,58,3.0
154417,AcEc_119,55,2.0
161533,AcEc_119,50,2.0
163016,AcEc_119,83,4.0
163882,AcEc_119,66,3.0
165456,AcEc_119,84,4.0
178793,AcEc_119,54,2.0
180544,AcEc_119,58,3.0
181570,AcEc_119,57,3.0
182645,AcEc_119,56,3.0
187306,AcEc_119,43,2.0
193587,AcEc_119,75,4.0
193710,AcEc_119,55,2.0
205042,AcEc_119,63,3.0
205992,AcEc_119,56,3.0
222284,AcEc_119,99,5.0
235071,AcEc_119,57,3.0
246205,AcEc_119,81,4.0
332671,AcEc_119,66,3.0
334778,AcEc_119,60,3.0
340013,AcEc_119,78,4.0
340066,AcEc_119,66,3.0
361510,AcEc_119,52,2.0
401171,AcEc_119,40,1.0
439503,AcEc_119,60,3.0
439555,AcEc_119,74,4.0
441005,AcEc_119,60,3.0
442106,AcEc_119,61,3.0
442359,AcEc_119,59,3.0
442405,AcEc_119,52,2.0
442432,AcEc_119,75,4.0
442544,AcEc_119,71,4.0
442706,AcEc_119,61,3.0
442758,AcEc_119,67,3.0
442764,AcEc_119,87,5.0
461030,AcEc_119,69,3.0
461031,AcEc_119,82,4.0
577062,AcEc_119,57,3.0
605429,AcEc_119,54,2.0
609638,AcEc_119,71,4.0
636777,AcEc_119,61,3.0
670971,AcEc_119,49,2.0
1794427,AcEc_119,49,2.0
3000322,AcEc_119,59,3.0
3034394,AcEc_119,60,3.0
3080690,AcEc_119,63,3.0
3084311,AcEc_119,63,3.0
4486617,AcEc_119,53,2.0
5276614,AcEc_119,79,4.0
5280363,AcEc_119,60,3.0
5280450,AcEc_119,56,3.0
5280887,AcEc_119,56,3.0
5280906,AcEc_119,81,4.0
5280934,AcEc_119,56,3.0
5281513,AcEc_119,90,5.0
5281519,AcEc_119,60,3.0
5281520,AcEc_119,63,3.0
5281733,AcEc_119,81,4.0
5281743,AcEc_119,87,5.0
5281750,AcEc_119,90,5.0
5281752,AcEc_119,99,5.0
5281756,AcEc_119,83,4.0
5283080,AcEc_119,59,3.0
5283224,AcEc_119,58,3.0
5283227,AcEc_119,59,3.0
5283387,AcEc_119,58,3.0
5284421,AcEc_119,56,3.0
5311477,AcEc_119,67,3.0
5312457,AcEc_119,58,3.0
5312495,AcEc_119,55,2.0
5315536,AcEc_119,63,3.0
5352107,AcEc_119,81,4.0
5352767,AcEc_119,59,3.0
5352771,AcEc_119,58,3.0
5352772,AcEc_119,59,3.0
5352773,AcEc_119,57,3.0
5352787,AcEc_119,62,3.0
5352788,AcEc_119,60,3.0
5352888,AcEc_119,59,3.0
5352891,AcEc_119,60,3.0
5363265,AcEc_119,56,3.0
5363285,AcEc_119,60,3.0
5363385,AcEc_119,60,3.0
5363391,AcEc_119,57,3.0
5363534,AcEc_119,59,3.0
5364711,AcEc_119,59,3.0
5365883,AcEc_119,56,3.0
5375219,AcEc_119,91,5.0
5380876,AcEc_119,83,4.0
5381287,AcEc_119,91,5.0
5463051,AcEc_119,60,3.0
5467408,AcEc_119,62,3.0
6328195,AcEc_119,63,3.0
6365696,AcEc_119,58,3.0
6411696,AcEc_119,98,5.0
6428416,AcEc_119,50,2.0
6431104,AcEc_119,57,3.0
6432404,AcEc_119,62,3.0
6432447,AcEc_119,61,3.0
6434971,AcEc_119,62,3.0
6436648,AcEc_119,62,3.0
6437207,AcEc_119,56,3.0
6437355,AcEc_119,63,3.0
6437870,AcEc_119,56,3.0
6437887,AcEc_119,69,3.0
6438492,AcEc_119,60,3.0
6439196,AcEc_119,48,2.0
6439529,AcEc_119,58,3.0
6440707,AcEc_119,57,3.0
6440740,AcEc_119,63,3.0
6442498,AcEc_119,78,4.0
6442619,AcEc_119,100,5.0
6442624,AcEc_119,77,4.0
6442654,AcEc_119,55,2.0
6442677,AcEc_119,71,4.0
6450311,AcEc_119,65,3.0
6450312,AcEc_119,65,3.0
6450812,AcEc_119,60,3.0
6453188,AcEc_119,60,3.0
6455632,AcEc_119,60,3.0
6918391,AcEc_119,59,3.0
9548622,AcEc_119,72,4.0
9548773,AcEc_119,59,3.0
9808885,AcEc_119,55,2.0
9855795,AcEc_119,50,2.0
9868964,AcEc_119,68,3.0
9993558,AcEc_119,71,4.0
10013205,AcEc_119,58,3.0
10026645,AcEc_119,58,3.0
10038820,AcEc_119,54,2.0
10041611,AcEc_119,80,4.0
10049156,AcEc_119,63,3.0
10089677,AcEc_119,62,3.0
10244894,AcEc_119,87,5.0
10265778,AcEc_119,63,3.0
10391052,AcEc_119,83,4.0
10403598,AcEc_119,69,3.0
10410583,AcEc_119,69,3.0
10424557,AcEc_119,60,3.0
10446412,AcEc_119,59,3.0
10456163,AcEc_119,79,4.0
10471153,AcEc_119,93,5.0
10537970,AcEc_119,48,2.0
10608682,AcEc_119,64,3.0
10634145,AcEc_119,47,2.0
10688026,AcEc_119,76,4.0
10802739,AcEc_119,58,3.0
10826797,AcEc_119,59,3.0
10829117,AcEc_119,63,3.0
10841700,AcEc_119,97,5.0
10848165,AcEc_119,60,3.0
10857106,AcEc_119,62,3.0
10913938,AcEc_119,75,4.0
10927117,AcEc_119,59,3.0
10969647,AcEc_119,70,3.0
10987189,AcEc_119,60,3.0
11009557,AcEc_119,59,3.0
11012895,AcEc_119,66,3.0
11019790,AcEc_119,56,3.0
11076852,AcEc_119,58,3.0
11077394,AcEc_119,63,3.0
11098563,AcEc_119,60,3.0
11174599,AcEc_119,67,3.0
11232391,AcEc_119,67,3.0
11241437,AcEc_119,56,3.0
11244464,AcEc_119,63,3.0
11244548,AcEc_119,48,2.0
11313238,AcEc_119,63,3.0
11338427,AcEc_119,72,4.0
11427023,AcEc_119,58,3.0
11452844,AcEc_119,69,3.0
11460191,AcEc_119,57,3.0
11493734,AcEc_119,73,4.0
11530417,AcEc_119,64,3.0
11586285,AcEc_119,58,3.0
11616558,AcEc_119,60,3.0
11630032,AcEc_119,53,2.0
11639449,AcEc_119,94,5.0
11683278,AcEc_119,90,5.0
11858788,AcEc_119,61,3.0
11877394,AcEc_119,59,3.0
11983967,AcEc_119,53,2.0
12088153,AcEc_119,85,4.0
12093069,AcEc_119,60,3.0
12187779,AcEc_119,69,3.0
12247549,AcEc_119,47,2.0
12302222,AcEc_119,61,3.0
12308816,AcEc_119,63,3.0
12309050,AcEc_119,57,3.0
12315225,AcEc_119,90,5.0
12315228,AcEc_119,61,3.0
12628864,AcEc_119,57,3.0
12814285,AcEc_119,60,3.0
13072122,AcEc_119,58,3.0
13116576,AcEc_119,56,3.0
13116578,AcEc_119,59,3.0
13453568,AcEc_119,59,3.0
13560375,AcEc_119,58,3.0
13560376,AcEc_119,56,3.0
13614455,AcEc_119,44,2.0
13614456,AcEc_119,49,2.0
13671273,AcEc_119,56,3.0
14017671,AcEc_119,98,5.0
14109421,AcEc_119,53,2.0
14185805,AcEc_119,58,3.0
14185806,AcEc_119,60,3.0
14479659,AcEc_119,59,3.0
14657258,AcEc_119,59,3.0
14658021,AcEc_119,65,3.0
14701065,AcEc_119,59,3.0
15340916,AcEc_119,56,3.0
15379374,AcEc_119,86,5.0
15767023,AcEc_119,57,3.0
16059787,AcEc_119,91,5.0
16667385,AcEc_119,61,3.0
16723323,AcEc_119,61,3.0
16756314,AcEc_119,89,5.0
20138356,AcEc_119,60,3.0
20838712,AcEc_119,59,3.0
21573066,AcEc_119,69,3.0
21574510,AcEc_119,66,3.0
21583351,AcEc_119,68,3.0
21591458,AcEc_119,51,2.0
21592256,AcEc_119,74,4.0
21630855,AcEc_119,67,3.0
21773697,AcEc_119,89,5.0
21773731,AcEc_119,57,3.0
21778723,AcEc_119,90,5.0
22215019,AcEc_119,79,4.0
23255044,AcEc_119,58,3.0
23425034,AcEc_119,70,3.0
23425158,AcEc_119,67,3.0
23427104,AcEc_119,58,3.0
23427263,AcEc_119,55,2.0
24862229,AcEc_119,66,3.0
25265919,AcEc_119,56,3.0
44235243,AcEc_119,59,3.0
44256554,AcEc_119,59,3.0
44256587,AcEc_119,60,3.0
44324436,AcEc_119,55,2.0
45272227,AcEc_119,100,5.0
46184996,AcEc_119,57,3.0
46186115,AcEc_119,97,5.0
46193078,AcEc_119,59,3.0
46193079,AcEc_119,56,3.0
46193083,AcEc_119,57,3.0
46209656,AcEc_119,71,4.0
46231989,AcEc_119,85,4.0
49799338,AcEc_119,79,4.0
49845925,AcEc_119,89,5.0
50993746,AcEc_119,75,4.0
51041305,AcEc_119,94,5.0
53355994,AcEc_119,65,3.0
53956817,AcEc_119,78,4.0
53996943,AcEc_119,92,5.0
54339219,AcEc_119,91,5.0
54366177,AcEc_119,94,5.0
54435484,AcEc_119,57,3.0
56684113,AcEc_119,69,3.0
56935897,AcEc_119,58,3.0
56935988,AcEc_119,56,3.0
56935989,AcEc_119,60,3.0
56935990,AcEc_119,59,3.0
56936008,AcEc_119,62,3.0
56936013,AcEc_119,59,3.0
56936114,AcEc_119,60,3.0
56936137,AcEc_119,58,3.0
56936139,AcEc_119,57,3.0
56936140,AcEc_119,56,3.0
56936246,AcEc_119,59,3.0
57037829,AcEc_119,61,3.0
70489191,AcEc_119,56,3.0
70685502,AcEc_119,72,4.0
71481657,AcEc_119,71,4.0
71587038,AcEc_119,55,2.0
71609168,AcEc_119,75,4.0
73837686,AcEc_119,74,4.0
76313965,AcEc_119,75,4.0
76335702,AcEc_119,67,3.0
76959410,AcEc_119,87,5.0
87225050,AcEc_119,56,3.0
90472149,AcEc_119,75,4.0
91700478,AcEc_119,45,2.0
91704079,AcEc_119,48,2.0
91711340,AcEc_119,59,3.0
91731891,AcEc_119,52,2.0
91748460,AcEc_119,52,2.0
100917538,AcEc_119,95,5.0
100927179,AcEc_119,67,3.0
101106323,AcEc_119,68,3.0
101131157,AcEc_119,63,3.0
101231615,AcEc_119,71,4.0
101233333,AcEc_119,58,3.0
101336123,AcEc_119,75,4.0
101347777,AcEc_119,54,2.0
101446903,AcEc_119,92,5.0
101446904,AcEc_119,91,5.0
101548545,AcEc_119,66,3.0
101572510,AcEc_119,63,3.0
101602477,AcEc_119,58,3.0
101613864,AcEc_119,65,3.0
101613865,AcEc_119,64,3.0
101623770,AcEc_119,55,2.0
101677425,AcEc_119,61,3.0
101726998,AcEc_119,56,3.0
101756222,AcEc_119,59,3.0
101774836,AcEc_119,95,5.0
101898419,AcEc_119,71,4.0
101955934,AcEc_119,94,5.0
102009880,AcEc_119,57,3.0
102069249,AcEc_119,52,2.0
102148462,AcEc_119,58,3.0
102431449,AcEc_119,52,2.0
127051029,AcEc_119,77,4.0
129775774,AcEc_119,56,3.0
129864076,AcEc_119,65,3.0
129881999,AcEc_119,61,3.0
129905909,AcEc_119,64,3.0
132498494,AcEc_119,73,4.0
132596322,AcEc_119,83,4.0
132596324,AcEc_119,90,5.0
132606988,AcEc_119,71,4.0
135516704,AcEc_119,62,3.0
139586554,AcEc_119,79,4.0
313,AcEc_159,92,5.0
402,AcEc_159,95,5.0
2950,AcEc_159,67,3.0
5757,AcEc_159,75,4.0
5988,AcEc_159,90,5.0
6013,AcEc_159,94,5.0
6031,AcEc_159,67,3.0
6128,AcEc_159,75,4.0
6780,AcEc_159,67,3.0
7427,AcEc_159,85,4.0
7871,AcEc_159,66,3.0
8955,AcEc_159,95,5.0
10187,AcEc_159,55,2.0
10208,AcEc_159,65,3.0
10453,AcEc_159,57,3.0
10461,AcEc_159,70,3.0
22384,AcEc_159,85,4.0
24526,AcEc_159,85,4.0
31404,AcEc_159,74,4.0
33441,AcEc_159,75,4.0
40326,AcEc_159,63,3.0
62850,AcEc_159,50,2.0
64695,AcEc_159,60,3.0
64696,AcEc_159,48,2.0
65575,AcEc_159,66,3.0
68111,AcEc_159,52,2.0
73614,AcEc_159,83,4.0
90567,AcEc_159,67,3.0
91458,AcEc_159,90,5.0
91520,AcEc_159,95,5.0
92835,AcEc_159,88,5.0
104796,AcEc_159,84,4.0
107878,AcEc_159,89,5.0
107938,AcEc_159,83,4.0
108053,AcEc_159,74,4.0
114843,AcEc_159,85,4.0
148745,AcEc_159,79,4.0
154417,AcEc_159,60,3.0
161533,AcEc_159,64,3.0
178793,AcEc_159,61,3.0
180544,AcEc_159,45,2.0
181570,AcEc_159,74,4.0
182645,AcEc_159,70,3.0
187306,AcEc_159,49,2.0
193710,AcEc_159,72,4.0
205042,AcEc_159,77,4.0
205992,AcEc_159,54,2.0
235071,AcEc_159,93,5.0
334778,AcEc_159,68,3.0
340066,AcEc_159,86,5.0
361510,AcEc_159,93,5.0
401171,AcEc_159,54,2.0
439503,AcEc_159,68,3.0
439555,AcEc_159,76,4.0
441005,AcEc_159,62,3.0
442106,AcEc_159,62,3.0
442359,AcEc_159,44,2.0
442405,AcEc_159,71,4.0
442706,AcEc_159,67,3.0
442758,AcEc_159,73,4.0
461030,AcEc_159,87,5.0
577062,AcEc_159,71,4.0
605429,AcEc_159,52,2.0
609638,AcEc_159,70,3.0
636777,AcEc_159,77,4.0
670971,AcEc_159,61,3.0
1794427,AcEc_159,42,2.0
3000322,AcEc_159,71,4.0
3034394,AcEc_159,87,5.0
3080690,AcEc_159,84,4.0
3084311,AcEc_159,71,4.0
4486617,AcEc_159,59,3.0
5280363,AcEc_159,54,2.0
5280450,AcEc_159,48,2.0
5280887,AcEc_159,51,2.0
5280934,AcEc_159,44,2.0
5281513,AcEc_159,88,5.0
5281519,AcEc_159,78,4.0
5281520,AcEc_159,79,4.0
5283080,AcEc_159,44,2.0
5283224,AcEc_159,67,3.0
5283227,AcEc_159,82,4.0
5283387,AcEc_159,43,2.0
5284421,AcEc_159,51,2.0
5311477,AcEc_159,92,5.0
5312457,AcEc_159,48,2.0
5312495,AcEc_159,41,2.0
5315536,AcEc_159,83,4.0
5352767,AcEc_159,48,2.0
5352771,AcEc_159,53,2.0
5352772,AcEc_159,56,3.0
5352773,AcEc_159,54,2.0
5352787,AcEc_159,55,2.0
5352788,AcEc_159,48,2.0
5352888,AcEc_159,48,2.0
5352891,AcEc_159,48,2.0
5363265,AcEc_159,48,2.0
5363285,AcEc_159,50,2.0
5363385,AcEc_159,52,2.0
5363391,AcEc_159,46,2.0
5363534,AcEc_159,48,2.0
5364711,AcEc_159,46,2.0
5365883,AcEc_159,43,2.0
5463051,AcEc_159,44,2.0
5467408,AcEc_159,67,3.0
6328195,AcEc_159,71,4.0
6365696,AcEc_159,47,2.0
6428416,AcEc_159,74,4.0
6431104,AcEc_159,52,2.0
6432404,AcEc_159,67,3.0
6432447,AcEc_159,72,4.0
6434971,AcEc_159,66,3.0
6436648,AcEc_159,52,2.0
6437207,AcEc_159,48,2.0
6437355,AcEc_159,70,3.0
6437870,AcEc_159,57,3.0
6437887,AcEc_159,92,5.0
6438492,AcEc_159,67,3.0
6439196,AcEc_159,52,2.0
6439529,AcEc_159,58,3.0
6440707,AcEc_159,43,2.0
6440740,AcEc_159,52,2.0
6442654,AcEc_159,44,2.0
6442677,AcEc_159,68,3.0
6450311,AcEc_159,60,3.0
6450312,AcEc_159,64,3.0
6450812,AcEc_159,67,3.0
6453188,AcEc_159,51,2.0
6455632,AcEc_159,90,5.0
6918391,AcEc_159,61,3.0
9808885,AcEc_159,45,2.0
9855795,AcEc_159,58,3.0
9868964,AcEc_159,98,5.0
9993558,AcEc_159,98,5.0
10013205,AcEc_159,76,4.0
10026645,AcEc_159,99,5.0
10038820,AcEc_159,60,3.0
10041611,AcEc_159,85,4.0
10049156,AcEc_159,67,3.0
10089677,AcEc_159,58,3.0
10391052,AcEc_159,98,5.0
10410583,AcEc_159,54,2.0
10424557,AcEc_159,54,2.0
10446412,AcEc_159,48,2.0
10456163,AcEc_159,94,5.0
10537970,AcEc_159,44,2.0
10608682,AcEc_159,69,3.0
10634145,AcEc_159,79,4.0
