,65575,3000322,9889796,23427104,15939609,23255044,3084311,442405,5283957,23425034,11751458,163882,25016418,442544,6434971,101898419,23427263,23656634,21592256,5326970,129775774,16656568,11327620,44566672,23425158,129730698,10913938,49799338,11530417,180272,25137304,114843,5365883,12187779,73293941,10608682,340013,442432,91748460,340066,101603384,11313238
AtCo_164,2.0,1.0,0.0,3.0,4.0,3.0,2.0,2.0,4.0,3.0,4.0,2.0,5.0,5.0,2.0,4.0,2.0,0.0,1.0,3.0,2.0,4.0,5.0,3.0,2.0,0.0,3.0,3.0,2.0,4.0,0.0,2.0,3.0,2.0,0.0,2.0,3.0,3.0,2.0,2.0,0.0,4.0
ApCe_60,1.0,1.0,0.0,2.0,4.0,3.0,2.0,1.0,4.0,2.0,5.0,2.0,5.0,4.0,1.0,3.0,2.0,0.0,2.0,3.0,3.0,4.0,4.0,2.0,2.0,0.0,3.0,2.0,1.0,3.0,5.0,2.0,2.0,2.0,0.0,1.0,2.0,3.0,1.0,2.0,0.0,2.0
DrFi_6,2.0,1.0,0.0,3.0,5.0,3.0,2.0,2.0,4.0,3.0,5.0,2.0,5.0,4.0,2.0,4.0,2.0,0.0,2.0,3.0,2.0,4.0,4.0,2.0,2.0,0.0,4.0,1.0,2.0,3.0,5.0,2.0,2.0,2.0,0.0,2.0,3.0,4.0,2.0,2.0,5.0,2.0
HaSa_185,2.0,2.0,0.0,4.0,0.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,0.0,2.0,5.0,2.0,0.0,2.0,3.0,2.0,0.0,4.0,0.0,2.0,0.0,0.0,2.0,1.0,5.0,5.0,2.0,2.0,2.0,0.0,1.0,2.0,3.0,1.0,2.0,0.0,2.0
OoBi_161,2.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,3.0,2.0,5.0,2.0,5.0,4.0,1.0,3.0,2.0,0.0,1.0,3.0,2.0,4.0,5.0,3.0,2.0,0.0,0.0,1.0,1.0,5.0,5.0,2.0,2.0,2.0,0.0,1.0,2.0,2.0,1.0,2.0,0.0,2.0
CoFl_111,2.0,1.0,0.0,2.0,0.0,2.0,2.0,1.0,2.0,2.0,4.0,3.0,4.0,3.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,3.0,5.0,3.0,2.0,0.0,4.0,2.0,2.0,4.0,5.0,2.0,1.0,2.0,4.0,1.0,4.0,4.0,2.0,3.0,0.0,3.0
ApFl_125,2.0,2.0,0.0,3.0,0.0,3.0,2.0,2.0,3.0,3.0,5.0,2.0,5.0,4.0,3.0,3.0,2.0,0.0,2.0,3.0,2.0,4.0,5.0,3.0,2.0,0.0,0.0,2.0,2.0,5.0,0.0,2.0,2.0,3.0,0.0,2.0,3.0,2.0,2.0,2.0,0.0,2.0
DrFi_42,3.0,2.0,0.0,3.0,0.0,3.0,3.0,3.0,5.0,3.0,5.0,3.0,0.0,0.0,3.0,4.0,3.0,0.0,3.0,4.0,3.0,4.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,4.0,5.0,2.0,3.0,3.0,0.0,2.0,4.0,4.0,2.0,3.0,0.0,4.0
TrSe_143,3.0,3.0,0.0,3.0,5.0,3.0,3.0,3.0,0.0,3.0,5.0,2.0,0.0,0.0,3.0,3.0,4.0,0.0,3.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,0.0,2.0,4.0,5.0,3.0,3.0,0.0,4.0
CoFl_93,1.0,1.0,0.0,2.0,4.0,2.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,4.0,2.0,3.0,2.0,0.0,2.0,3.0,3.0,4.0,4.0,4.0,2.0,0.0,0.0,3.0,1.0,4.0,5.0,2.0,2.0,2.0,0.0,1.0,2.0,3.0,1.0,2.0,0.0,1.0
VaTa_30,2.0,2.0,0.0,2.0,5.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,0.0,2.0,2.0,3.0,2.0,0.0,2.0,4.0,2.0,5.0,4.0,4.0,2.0,0.0,0.0,2.0,2.0,4.0,5.0,2.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,0.0,4.0
VoEm_243,1.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,0.0,3.0,2.0,2.0,1.0,0.0,2.0,3.0,2.0,3.0,5.0,3.0,2.0,0.0,0.0,2.0,2.0,4.0,5.0,2.0,2.0,2.0,0.0,1.0,3.0,3.0,1.0,2.0,0.0,2.0
BoTe_75,2.0,2.0,0.0,2.0,5.0,2.0,2.0,2.0,5.0,2.0,0.0,2.0,0.0,5.0,3.0,2.0,3.0,0.0,2.0,5.0,2.0,0.0,5.0,0.0,3.0,0.0,0.0,4.0,2.0,5.0,4.0,2.0,2.0,2.0,0.0,1.0,4.0,3.0,3.0,2.0,0.0,5.0
DrEl_60,2.0,2.0,0.0,2.0,0.0,3.0,2.0,2.0,5.0,2.0,5.0,2.0,0.0,4.0,2.0,3.0,2.0,0.0,3.0,3.0,3.0,4.0,4.0,3.0,2.0,0.0,5.0,4.0,3.0,4.0,5.0,2.0,2.0,2.0,0.0,1.0,2.0,3.0,1.0,3.0,0.0,2.0
MoPh_181,2.0,2.0,0.0,2.0,5.0,2.0,2.0,2.0,5.0,3.0,0.0,2.0,0.0,3.0,2.0,2.0,2.0,0.0,2.0,4.0,2.0,5.0,4.0,4.0,2.0,0.0,4.0,3.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,4.0,3.0,3.0,3.0,0.0,3.0
DrVi_55,3.0,1.0,0.0,2.0,0.0,2.0,2.0,2.0,3.0,2.0,5.0,2.0,4.0,3.0,2.0,2.0,1.0,4.0,3.0,3.0,2.0,3.0,0.0,5.0,2.0,0.0,4.0,2.0,1.0,3.0,0.0,2.0,2.0,3.0,0.0,1.0,3.0,3.0,1.0,2.0,0.0,5.0
LiHu_96,2.0,2.0,0.0,5.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,3.0,0.0,2.0,0.0,2.0,3.0,2.0,3.0,0.0,4.0,3.0,0.0,3.0,3.0,2.0,4.0,0.0,2.0,3.0,3.0,0.0,1.0,3.0,5.0,1.0,2.0,0.0,4.0
AeAe_69,2.0,2.0,0.0,3.0,0.0,3.0,2.0,2.0,4.0,3.0,5.0,3.0,4.0,4.0,3.0,3.0,2.0,0.0,1.0,4.0,2.0,0.0,0.0,3.0,2.0,0.0,4.0,3.0,2.0,4.0,0.0,2.0,2.0,2.0,5.0,1.0,3.0,3.0,2.0,2.0,0.0,4.0
AtCo_160,2.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,3.0,1.0,3.0,1.0,0.0,1.0,4.0,2.0,4.0,0.0,5.0,2.0,0.0,4.0,1.0,1.0,4.0,0.0,2.0,2.0,1.0,0.0,1.0,3.0,3.0,1.0,2.0,0.0,4.0
VoEm_195,2.0,3.0,0.0,3.0,0.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,4.0,5.0,3.0,5.0,2.0,0.0,2.0,4.0,2.0,4.0,0.0,4.0,2.0,0.0,4.0,2.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,2.0,3.0,3.0,1.0,3.0,0.0,3.0
AtCo_199,2.0,3.0,0.0,4.0,0.0,3.0,3.0,3.0,5.0,3.0,5.0,2.0,5.0,0.0,4.0,4.0,3.0,0.0,4.0,3.0,3.0,4.0,0.0,0.0,2.0,0.0,0.0,3.0,3.0,4.0,0.0,3.0,3.0,2.0,0.0,3.0,4.0,3.0,3.0,3.0,0.0,4.0
OoBi_273,3.0,3.0,0.0,3.0,0.0,3.0,2.0,2.0,4.0,3.0,0.0,2.0,5.0,0.0,3.0,4.0,3.0,0.0,2.0,3.0,3.0,4.0,0.0,4.0,3.0,0.0,5.0,3.0,2.0,5.0,0.0,2.0,3.0,3.0,0.0,2.0,3.0,3.0,2.0,3.0,0.0,3.0
HyKa_34,3.0,1.0,0.0,3.0,0.0,2.0,3.0,3.0,5.0,4.0,0.0,4.0,4.0,0.0,2.0,4.0,3.0,0.0,3.0,3.0,1.0,5.0,0.0,4.0,4.0,0.0,3.0,3.0,2.0,4.0,0.0,2.0,1.0,3.0,0.0,3.0,4.0,4.0,3.0,2.0,0.0,3.0
VoEm_337,2.0,3.0,0.0,2.0,0.0,3.0,2.0,2.0,5.0,3.0,0.0,2.0,5.0,0.0,3.0,3.0,3.0,0.0,3.0,5.0,3.0,0.0,5.0,4.0,2.0,0.0,5.0,3.0,3.0,5.0,0.0,3.0,3.0,3.0,5.0,2.0,3.0,3.0,2.0,3.0,0.0,4.0
AnGa_66,3.0,2.0,0.0,3.0,0.0,3.0,2.0,2.0,0.0,3.0,3.0,2.0,4.0,0.0,2.0,4.0,3.0,0.0,3.0,2.0,2.0,3.0,5.0,5.0,3.0,0.0,5.0,4.0,2.0,4.0,5.0,3.0,3.0,3.0,0.0,2.0,4.0,5.0,2.0,3.0,0.0,4.0
VoEm_135,3.0,1.0,4.0,4.0,0.0,2.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,0.0,3.0,5.0,3.0,0.0,3.0,3.0,3.0,4.0,5.0,4.0,3.0,5.0,3.0,3.0,2.0,4.0,5.0,2.0,3.0,3.0,0.0,2.0,4.0,5.0,1.0,2.0,0.0,3.0
BoTe_59,2.0,2.0,0.0,3.0,0.0,2.0,3.0,2.0,3.0,2.0,4.0,1.0,4.0,3.0,1.0,3.0,2.0,0.0,2.0,3.0,2.0,4.0,5.0,4.0,2.0,5.0,0.0,3.0,1.0,4.0,0.0,2.0,2.0,2.0,0.0,2.0,4.0,2.0,1.0,2.0,0.0,4.0
HaSa_100,2.0,2.0,0.0,3.0,0.0,3.0,2.0,2.0,3.0,2.0,4.0,1.0,3.0,3.0,2.0,4.0,2.0,0.0,2.0,3.0,2.0,3.0,5.0,3.0,3.0,4.0,4.0,2.0,2.0,3.0,0.0,2.0,3.0,3.0,0.0,2.0,3.0,2.0,2.0,2.0,0.0,3.0
CrSe_16,2.0,1.0,0.0,3.0,0.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0,5.0,4.0,2.0,4.0,1.0,0.0,2.0,2.0,2.0,3.0,4.0,3.0,2.0,0.0,4.0,2.0,2.0,3.0,0.0,2.0,2.0,3.0,0.0,2.0,3.0,3.0,2.0,2.0,0.0,3.0
VoEm_214,2.0,2.0,0.0,3.0,0.0,3.0,2.0,1.0,4.0,2.0,4.0,2.0,0.0,4.0,3.0,3.0,2.0,0.0,2.0,5.0,3.0,4.0,4.0,4.0,2.0,0.0,5.0,3.0,3.0,5.0,0.0,3.0,3.0,2.0,0.0,2.0,3.0,3.0,2.0,3.0,0.0,3.0
DrWi_41,2.0,2.0,0.0,3.0,0.0,3.0,2.0,2.0,4.0,3.0,4.0,2.0,0.0,5.0,2.0,4.0,2.0,0.0,2.0,5.0,3.0,4.0,5.0,3.0,2.0,0.0,4.0,2.0,2.0,4.0,0.0,3.0,2.0,2.0,0.0,2.0,2.0,3.0,3.0,3.0,0.0,3.0
